Wavelength (nm),Sensitivity multiplier
206.8881211,0.00002
206.8951063,0.00002
206.9020915,0.00002
206.9090767,0.00002
206.9160608,0.00002
206.923045,0.00002
206.9300282,0.00002
206.9370114,0.00002
206.9439935,0.00002
206.9509767,0.00002
206.9579579,0.00002
206.9649401,0.00002
206.9719212,0.00002
206.9789014,0.00002
206.9858826,0.00002
206.9928618,0.00002
206.9998419,0.00002
207.0068211,0.00002
207.0138003,0.00002
207.0207785,0.00002
207.0277566,0.00002
207.0347348,0.00002
207.041712,0.00002
207.0486891,0.00002
207.0556653,0.00002
207.0626415,0.00002
207.0696177,0.00002
207.0765928,0.00002
207.083568,0.00002
207.0905422,0.00002
207.0975163,0.00002
207.1044905,0.00002
207.1114637,0.00002
207.1184369,0.00002
207.12541,0.00002
207.1323822,0.00002
207.1393544,0.00002
207.1463255,0.00002
207.1532967,0.00002
207.1602679,0.00002
207.167238,0.00002
207.1742082,0.00002
207.1811784,0.00002
207.1881475,0.00002
207.1951157,0.00002
207.2020849,0.00002
207.209053,0.00002
207.2160202,0.00002
207.2229874,0.00002
207.2299545,0.00002
207.2369217,0.00002
207.2438879,0.00002
207.250853,0.00002
207.2578192,0.00002
207.2647843,0.00002
207.2717485,0.00002
207.2787127,0.00002
207.2856768,0.00002
207.29264,0.00002
207.2996032,0.00002
207.3065663,0.00002
207.3135285,0.00002
207.3204906,0.00002
207.3274518,0.00002
207.334413,0.00002
207.3413741,0.00002
207.3483343,0.00002
207.3552945,0.00002
207.3622536,0.00002
207.3692128,0.00002
207.3761719,0.00002
207.3831311,0.00002
207.3900883,0.00002
207.3970464,0.00002
207.4040036,0.00002
207.4109607,0.00002
207.4179169,0.00002
207.424873,0.00002
207.4318292,0.00002
207.4387844,0.00002
207.4457395,0.00002
207.4526947,0.00002
207.4596488,0.00002
207.466602,0.00002
207.4735561,0.00002
207.4805093,0.00002
207.4874614,0.00002
207.4944136,0.00002
207.5013658,0.00002
207.5083179,0.00002
207.5152691,0.00002
207.5222192,0.00002
207.5291694,0.00002
207.5361195,0.00002
207.5430697,0.00002
207.5500188,0.00002
207.556967,0.00002
207.5639161,0.00002
207.5708643,0.00002
207.5778114,0.00002
207.5847586,0.00002
207.5917057,0.00002
207.5986519,0.00002
207.605598,0.00002
207.6125442,0.00002
207.6194893,0.00002
207.6264345,0.00002
207.6333786,0.00002
207.6403238,0.00002
207.6472669,0.00002
207.6542101,0.00002
207.6611532,0.00002
207.6680964,0.00002
207.6750385,0.00002
207.6819807,0.00002
207.6889218,0.00002
207.695863,0.00002
207.7028041,0.00002
207.7097443,0.00002
207.7166844,0.00002
207.7236236,0.00002
207.7305627,0.00002
207.7375019,0.00002
207.74444,0.00002
207.7513782,0.00002
